id,time,value
Urlaub Tirol,2021-10-05,0
Urlaub Tirol,2021-10-06,0
Urlaub Tirol,2021-10-07,0
Urlaub Tirol,2021-10-08,0
Urlaub Tirol,2021-10-09,0
Urlaub Tirol,2021-10-10,0
Urlaub Tirol,2021-10-11,100
Urlaub Tirol,2021-10-12,0
Urlaub Tirol,2021-10-13,0
Urlaub Tirol,2021-10-14,0
Urlaub Tirol,2021-10-15,56
Urlaub Tirol,2021-10-16,65
Urlaub Tirol,2021-10-17,0
Urlaub Tirol,2021-10-18,0
Urlaub Tirol,2021-10-19,0
Urlaub Tirol,2021-10-20,0
Urlaub Tirol,2021-10-21,0
Urlaub Tirol,2021-10-22,0
Urlaub Tirol,2021-10-23,0
Urlaub Tirol,2021-10-24,0
Urlaub Tirol,2021-10-25,0
Urlaub Tirol,2021-10-26,0
Urlaub Tirol,2021-10-27,0
Urlaub Tirol,2021-10-28,54
Urlaub Tirol,2021-10-29,0
Urlaub Tirol,2021-10-30,0
Urlaub Tirol,2021-10-31,0
Urlaub Tirol,2021-11-01,0
Urlaub Tirol,2021-11-02,0
Urlaub Tirol,2021-11-03,0
Urlaub Tirol,2021-11-04,0
Urlaub Tirol,2021-11-05,0
Urlaub Tirol,2021-11-06,63
Urlaub Tirol,2021-11-07,0
Urlaub Tirol,2021-11-08,0
Urlaub Tirol,2021-11-09,0
Urlaub Tirol,2021-11-10,0
Urlaub Tirol,2021-11-11,0
Urlaub Tirol,2021-11-12,0
Urlaub Tirol,2021-11-13,0
Urlaub Tirol,2021-11-14,0
Urlaub Tirol,2021-11-15,0
Urlaub Tirol,2021-11-16,46
Urlaub Tirol,2021-11-17,0
Urlaub Tirol,2021-11-18,0
Urlaub Tirol,2021-11-19,0
Urlaub Tirol,2021-11-20,0
Urlaub Tirol,2021-11-21,62
Urlaub Tirol,2021-11-22,48
Urlaub Tirol,2021-11-23,0
Urlaub Tirol,2021-11-24,0
Urlaub Tirol,2021-11-25,0
Urlaub Tirol,2021-11-26,0
Urlaub Tirol,2021-11-27,0
Urlaub Tirol,2021-11-28,0
Urlaub Tirol,2021-11-29,0
Urlaub Tirol,2021-11-30,48
Urlaub Tirol,2021-12-01,0
Urlaub Tirol,2021-12-02,0
Urlaub Tirol,2021-12-03,0
Urlaub Tirol,2021-12-04,0
Urlaub Tirol,2021-12-05,0
Urlaub Tirol,2021-12-06,0
Urlaub Tirol,2021-12-07,0
Urlaub Tirol,2021-12-08,57
Urlaub Tirol,2021-12-09,0
Urlaub Tirol,2021-12-10,0
Urlaub Tirol,2021-12-11,0
Urlaub Tirol,2021-12-12,0
Urlaub Tirol,2021-12-13,0
Urlaub Tirol,2021-12-14,0
Urlaub Tirol,2021-12-15,0
Urlaub Tirol,2021-12-16,0
Urlaub Tirol,2021-12-17,0
Urlaub Tirol,2021-12-18,0
Urlaub Tirol,2021-12-19,0
Urlaub Tirol,2021-12-20,0
Urlaub Tirol,2021-12-21,0
Urlaub Tirol,2021-12-22,64
Urlaub Tirol,2021-12-23,70
Urlaub Tirol,2021-12-24,0
Urlaub Tirol,2021-12-25,0
Urlaub Tirol,2021-12-26,0
Urlaub Tirol,2021-12-27,0
Urlaub Tirol,2021-12-28,64
Urlaub Tirol,2021-12-29,0
Urlaub Tirol,2021-12-30,0
Urlaub Tirol,2021-12-31,0
Urlaub Tirol,2022-01-01,0
Urlaub Tirol,2022-01-02,0
Skiurlaub Österreich,2021-10-05,0
Skiurlaub Österreich,2021-10-06,0
Skiurlaub Österreich,2021-10-07,27
Skiurlaub Österreich,2021-10-08,0
Skiurlaub Österreich,2021-10-09,0
Skiurlaub Österreich,2021-10-10,32
Skiurlaub Österreich,2021-10-11,0
Skiurlaub Österreich,2021-10-12,53
Skiurlaub Österreich,2021-10-13,0
Skiurlaub Österreich,2021-10-14,0
Skiurlaub Österreich,2021-10-15,0
Skiurlaub Österreich,2021-10-16,0
Skiurlaub Österreich,2021-10-17,33
Skiurlaub Österreich,2021-10-18,0
Skiurlaub Österreich,2021-10-19,0
Skiurlaub Österreich,2021-10-20,0
Skiurlaub Österreich,2021-10-21,27
Skiurlaub Österreich,2021-10-22,0
Skiurlaub Österreich,2021-10-23,35
