time,value,n
2007-01-07,0,1
2007-01-14,42,1
2007-01-21,0,1
2007-01-28,84,1
2007-02-04,0,1
2007-02-11,0,1
2007-02-18,44,1
2007-02-25,0,1
2007-03-04,0,1
2007-03-11,0,1
2007-03-18,0,1
2007-03-25,18.5,2
2007-04-01,0,2
2007-04-08,24,2
2007-04-15,21.5,2
2007-04-22,0,2
2007-04-29,0,2
2007-05-06,19,2
2007-05-13,0,2
2007-05-20,0,2
2007-05-27,0,2
2007-06-03,0,2
2007-06-10,0,3
2007-06-17,0,3
2007-06-24,0,3
2007-07-01,0,3
2007-07-08,0,3
2007-07-15,0,3
2007-07-22,0,3
2007-07-29,10.666666666666666,3
2007-08-05,0,3
2007-08-12,24.666666666666668,3
2007-08-19,35.666666666666664,3
2007-08-26,8.75,4
2007-09-02,27,4
2007-09-09,36.75,4
2007-09-16,0,4
2007-09-23,19.25,4
2007-09-30,7.75,4
2007-10-07,17,4
2007-10-14,13.75,4
2007-10-21,0,4
2007-10-28,11.25,4
2007-11-04,0,4
2007-11-11,0,5
2007-11-18,11.6,5
2007-11-25,0,5
2007-12-02,0,5
2007-12-09,0,5
2007-12-16,0,5
2007-12-23,0,5
2007-12-30,20.2,5
2008-01-06,0,5
2008-01-13,0,5
2008-01-20,0,5
2008-01-27,24.5,6
2008-02-03,0,6
2008-02-10,0,6
2008-02-17,16,6
2008-02-24,3.8333333333333335,6
2008-03-02,0,6
2008-03-09,0,6
2008-03-16,15.666666666666666,6
2008-03-23,0,6
2008-03-30,0,6
2008-04-06,0,6
2008-04-13,0,7
2008-04-20,5,7
2008-04-27,0,7
2008-05-04,14.142857142857142,7
2008-05-11,14.857142857142858,7
2008-05-18,0,7
2008-05-25,10,7
2008-06-01,0,7
2008-06-08,0,7
2008-06-15,0,7
2008-06-22,15.285714285714286,7
2008-06-29,0,8
2008-07-06,30.75,8
2008-07-13,4.75,8
2008-07-20,12.625,8
2008-07-27,0,8
2008-08-03,0,8
2008-08-10,0,8
2008-08-17,0,8
2008-08-24,0,8
2008-08-31,0,8
2008-09-07,3.5,8
2008-09-14,9,9
2008-09-21,26.22222222222222,9
2008-09-28,0,9
2008-10-05,0,9
2008-10-12,23.11111111111111,9
2008-10-19,0,9
2008-10-26,23.22222222222222,9
