time,value,n
2007-01-01,0,1
2007-01-02,0,1
2007-01-03,0,1
2007-01-04,0,1
2007-01-05,0,1
2007-01-06,0,1
2007-01-07,0,1
2007-01-08,0,1
2007-01-09,0,1
2007-01-10,0,1
2007-01-11,0,1
2007-01-12,0,1
2007-01-13,0,1
2007-01-14,0,1
2007-01-15,0,1
2007-01-16,0,2
2007-01-17,0,2
2007-01-18,0,2
2007-01-19,0,2
2007-01-20,0,2
2007-01-21,0,2
2007-01-22,25,2
2007-01-23,0,2
2007-01-24,0,2
2007-01-25,25.5,2
2007-01-26,0,2
2007-01-27,0,2
2007-01-28,0,2
2007-01-29,0,2
2007-01-30,0,2
2007-01-31,0,3
2007-02-01,16.666666666666668,3
2007-02-02,38.666666666666664,3
2007-02-03,0,3
2007-02-04,0,3
2007-02-05,17.666666666666668,3
2007-02-06,0,3
2007-02-07,66.66666666666667,3
2007-02-08,0,3
2007-02-09,0,3
2007-02-10,0,3
2007-02-11,0,3
2007-02-12,0,3
2007-02-13,0,3
2007-02-14,0,3
2007-02-15,0,4
2007-02-16,0,4
2007-02-17,0,4
2007-02-18,0,4
2007-02-19,0,4
2007-02-20,0,4
2007-02-21,0,4
2007-02-22,0,4
2007-02-23,0,4
2007-02-24,0,4
2007-02-25,0,4
2007-02-26,0,4
2007-02-27,0,4
2007-02-28,13,4
2007-03-01,0,4
2007-03-02,0,5
2007-03-03,28.8,5
2007-03-04,7.8,5
2007-03-05,0,5
2007-03-06,0,5
2007-03-07,0,5
2007-03-08,19.2,5
2007-03-09,0,5
2007-03-10,31,5
2007-03-11,37,5
2007-03-12,0,5
2007-03-13,0,5
2007-03-14,34.2,5
2007-03-15,0,5
2007-03-16,0,5
2007-03-17,0,6
2007-03-18,24.333333333333332,6
2007-03-19,0,6
2007-03-20,0,6
2007-03-21,0,6
2007-03-22,15.666666666666666,6
2007-03-23,0,6
2007-03-24,0,6
2007-03-25,0,6
2007-03-26,0,6
2007-03-27,0,6
2007-03-28,8.833333333333334,6
2007-03-29,0,6
2007-03-30,9.5,6
2007-03-31,27.833333333333332,6
2007-04-01,21.571428571428573,7
2007-04-02,0,7
2007-04-03,0,7
2007-04-04,0,7
2007-04-05,0,7
2007-04-06,0,7
2007-04-07,0,7
2007-04-08,0,7
2007-04-09,0,7
2007-04-10,0,7
2007-04-11,0,7
2007-04-12,15.285714285714286,7
2007-04-13,28.714285714285715,7
2007-04-14,32.857142857142854,7
2007-04-15,0,7
2007-04-16,0,8
2007-04-17,33.625,8
2007-04-18,0,8
2007-04-19,0,8
2007-04-20,0,8
2007-04-21,0,8
2007-04-22,0,8
2007-04-23,0,8
2007-04-24,0,8
2007-04-25,21.875,8
2007-04-26,0,8
2007-04-27,0,8
2007-04-28,31.375,8
2007-04-29,0,8
2007-04-30,0,8
2007-05-01,0,9
2007-05-02,0,9
2007-05-03,0,9
2007-05-04,0,9
2007-05-05,4.333333333333333,9
2007-05-06,30,9
2007-05-07,8,9
2007-05-08,15.333333333333334,9
2007-05-09,0,9
2007-05-10,10.22222222222222,9
2007-05-11,0,9
2007-05-12,0,9
2007-05-13,0,9
2007-05-14,15.666666666666666,9
2007-05-15,0,9
2007-05-16,5.4,10
2007-05-17,0,10
2007-05-18,0,10
2007-05-19,0,10
2007-05-20,30.5,10
2007-05-21,0,10
2007-05-22,0,10
2007-05-23,0,10
2007-05-24,0,10
2007-05-25,0,10
2007-05-26,29.3,10
2007-05-27,35.4,10
2007-05-28,8.6,10
2007-05-29,11.7,10
2007-05-30,0,10
2007-05-31,0,11
2007-06-01,0,11
2007-06-02,0,11
2007-06-03,0,11
2007-06-04,11.545454545454543,11
2007-06-05,27.545454545454547,11
2007-06-06,0,11
2007-06-07,18,11
2007-06-08,0,11
2007-06-09,0,11
2007-06-10,0,11
2007-06-11,17.181818181818183,11
2007-06-12,0,11
2007-06-13,4.181818181818182,11
2007-06-14,0,11
2007-06-15,14.916666666666666,12
2007-06-16,0,12
2007-06-17,0,12
2007-06-18,0,12
2007-06-19,0,12
2007-06-20,0,12
2007-06-21,0,12
2007-06-22,0,12
2007-06-23,0,12
2007-06-24,28.833333333333332,12
2007-06-25,5.916666666666667,12
2007-06-26,12.333333333333334,12
2007-06-27,0,12
2007-06-28,0,12
2007-06-29,0,12
2007-06-30,0,13
2007-07-01,0,13
2007-07-02,0,12
2007-07-03,4.333333333333333,12
2007-07-04,5.75,12
2007-07-05,0,12
2007-07-06,0,12
2007-07-07,0,12
2007-07-08,0,12
2007-07-09,0,12
2007-07-10,0,12
2007-07-11,0,12
2007-07-12,0,12
2007-07-13,0,12
2007-07-14,0,12
2007-07-15,0,13
2007-07-16,0,13
2007-07-17,13.166666666666666,12
2007-07-18,17.083333333333332,12
2007-07-19,0,12
2007-07-20,0,12
2007-07-21,0,12
2007-07-22,0,12
2007-07-23,0,12
2007-07-24,29.416666666666668,12
2007-07-25,0,12
2007-07-26,0,12
2007-07-27,0,12
2007-07-28,34.75,12
2007-07-29,0,12
2007-07-30,0,13
2007-07-31,0,13
2007-08-01,22.25,12
2007-08-02,14.25,12
2007-08-03,18.416666666666668,12
2007-08-04,0,12
2007-08-05,0,12
2007-08-06,0,12
2007-08-07,18.75,12
2007-08-08,0,12
2007-08-09,0,12
2007-08-10,7.5,12
2007-08-11,0,12
2007-08-12,0,12
2007-08-13,0,12
2007-08-14,0,13
2007-08-15,0,13
2007-08-16,32.75,12
2007-08-17,0,12
2007-08-18,0,12
2007-08-19,5.333333333333333,12
2007-08-20,0,12
2007-08-21,0,12
2007-08-22,0,12
2007-08-23,0,12
2007-08-24,0,12
2007-08-25,0,12
2007-08-26,73.5,12
2007-08-27,0,12
2007-08-28,0,12
2007-08-29,13.615384615384617,13
2007-08-30,0,13
2007-08-31,16.153846153846153,13
2007-09-01,0,13
2007-09-02,0,13
2007-09-03,0,12
2007-09-04,0,12
2007-09-05,0,12
2007-09-06,0,12
2007-09-07,0,12
2007-09-08,32.333333333333336,12
2007-09-09,0,12
2007-09-10,0,12
2007-09-11,25.666666666666668,12
