time,value,n
2007-01-07,9,1
2007-01-14,17,1
2007-01-21,13,1
2007-01-28,17,1
2007-02-04,18,1
2007-02-11,9,1
2007-02-18,18,1
2007-02-25,21,1
2007-03-04,29,1
2007-03-11,53,1
2007-03-18,12,1
2007-03-25,16.5,2
2007-04-01,15,2
2007-04-08,47.5,2
2007-04-15,24,2
2007-04-22,26.5,2
2007-04-29,19.5,2
2007-05-06,27.5,2
2007-05-13,22.5,2
2007-05-20,14,2
2007-05-27,22,2
2007-06-03,19,2
2007-06-10,19.666666666666668,3
2007-06-17,17,3
2007-06-24,7,3
2007-07-01,19.333333333333332,3
2007-07-08,13.666666666666666,3
2007-07-15,17,3
2007-07-22,18.333333333333332,3
2007-07-29,17,3
2007-08-05,7.666666666666667,3
2007-08-12,24.333333333333332,3
2007-08-19,16.333333333333332,3
2007-08-26,23.75,4
2007-09-02,36.25,4
2007-09-09,27.75,4
2007-09-16,32.25,4
2007-09-23,26,4
2007-09-30,18.25,4
2007-10-07,20.25,4
2007-10-14,16.75,4
2007-10-21,20.75,4
2007-10-28,13.25,4
2007-11-04,15.25,4
2007-11-11,26.2,5
2007-11-18,20,5
2007-11-25,18,5
2007-12-02,13.6,5
2007-12-09,27,5
2007-12-16,10.8,5
2007-12-23,10.4,5
2007-12-30,6,5
2008-01-06,10.8,5
2008-01-13,3,5
2008-01-20,18.2,5
2008-01-27,12,6
2008-02-03,9.5,6
2008-02-10,7.333333333333333,6
2008-02-17,15.833333333333334,6
2008-02-24,20.833333333333332,6
2008-03-02,20.333333333333332,6
2008-03-09,18.166666666666668,6
2008-03-16,18.666666666666668,6
2008-03-23,24.333333333333332,6
2008-03-30,25,6
2008-04-06,17.333333333333332,6
2008-04-13,13.857142857142858,7
2008-04-20,23.428571428571427,7
2008-04-27,21.285714285714285,7
2008-05-04,7,7
2008-05-11,24.571428571428573,7
2008-05-18,12,7
2008-05-25,21.428571428571427,7
2008-06-01,13.571428571428571,7
2008-06-08,8.571428571428571,7
2008-06-15,16.857142857142858,7
2008-06-22,12.714285714285714,7
2008-06-29,19.5,8
2008-07-06,5,8
2008-07-13,9.75,8
2008-07-20,13.25,8
2008-07-27,13,8
2008-08-03,12.875,8
2008-08-10,16.375,8
2008-08-17,20.25,8
2008-08-24,33.125,8
2008-08-31,20.75,8
2008-09-07,16.875,8
2008-09-14,30.666666666666668,9
2008-09-21,22.444444444444443,9
2008-09-28,27,9
2008-10-05,20,9
2008-10-12,26.666666666666668,9
2008-10-19,16.555555555555557,9
2008-10-26,15.88888888888889,9
2008-11-02,25.333333333333332,9
2008-11-09,22.333333333333332,9
2008-11-16,32.333333333333336,9
2008-11-23,23.444444444444443,9
2008-11-30,17.5,10
2008-12-07,18.8,10
2008-12-14,13.2,10
2008-12-21,7.5,10
2008-12-28,17.2,10
2009-01-04,15.3,10
2009-01-11,14.2,10
2009-01-18,17.8,10
2009-01-25,10,10
2009-02-01,14.1,10
2009-02-08,10.5,10
2009-02-15,15.363636363636363,11
2009-02-22,15.090909090909092,11
2009-03-01,20.454545454545453,11
2009-03-08,18,11
2009-03-15,32.63636363636363,11
2009-03-22,25.363636363636363,11
2009-03-29,24.545454545454547,11
2009-04-05,32.90909090909091,11
2009-04-12,21.90909090909091,11
2009-04-19,25.363636363636363,11
2009-04-26,18.818181818181817,11
2009-05-03,27.333333333333332,12
2009-05-10,13.583333333333334,12
2009-05-17,21.416666666666668,12
2009-05-24,20.166666666666668,12
2009-05-31,22,12
2009-06-07,18.333333333333332,12
2009-06-14,20.583333333333332,12
2009-06-21,23.083333333333332,12
2009-06-28,15.916666666666666,12
2009-07-05,19.5,12
2009-07-12,18.833333333333332,12
2009-07-19,22.692307692307693,13
2009-07-26,16.307692307692307,13
2009-08-02,19.692307692307693,13
2009-08-09,15.692307692307692,13
2009-08-16,33.92307692307692,13
2009-08-23,20.76923076923077,13
2009-08-30,34.30769230769231,13
2009-09-06,29.076923076923077,13
2009-09-13,38.38461538461539,13
2009-09-20,34.84615384615385,13
2009-09-27,32,13
2009-10-04,25.571428571428573,14
2009-10-11,46.357142857142854,14
2009-10-18,24.928571428571427,14
2009-10-25,19.357142857142858,14
2009-11-01,33.142857142857146,14
2009-11-08,22.428571428571427,14
2009-11-15,31,14
2009-11-22,25.285714285714285,14
2009-11-29,22.785714285714285,14
2009-12-06,23.714285714285715,14
2009-12-13,28.214285714285715,14
2009-12-20,16.4,15
2009-12-27,16.8,15
2010-01-03,22.333333333333332,15
2010-01-10,19.266666666666666,15
2010-01-17,16.533333333333335,15
2010-01-24,25.866666666666667,15
2010-01-31,23.266666666666666,15
2010-02-07,17.933333333333334,15
2010-02-14,21.733333333333334,15
2010-02-21,29.466666666666665,15
2010-02-28,36.2,15
2010-03-07,42.3125,16
2010-03-14,45,16
2010-03-21,55.5,16
2010-03-28,59.3125,16
2010-04-04,36.875,16
2010-04-11,38.1875,16
2010-04-18,40.3125,16
2010-04-25,35.625,16
2010-05-02,40.8125,16
2010-05-09,40.4375,16
2010-05-16,28.875,16
2010-05-23,31.352941176470587,17
